Y,ID,Author,Date,Priority,Price,Speed,Duration,Temp,Location,Agreed,State,Class,Surface,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,sensor9,sensor10,sensor11,sensor12,sensor13,sensor14,sensor15,sensor16,sensor17,sensor18,sensor19,sensor20,sensor21,sensor22,sensor23,sensor24,sensor25,sensor26,sensor27,sensor28,sensor29,sensor30,S.No
25.35786717,G9969,HH,1/7/2001,Medium,Extravagant,Medium,Short,Hot,Battery room,No,Uncertain,Wooden,Textured,43.87135251,30.79493344,35.20821258,38.6477052,29.33104535,35.09091687,35.07557199,32.35063967,33.77680521,29.54459697,28.78867673,8.600277618,24.17418871,43.33563963,32.32999081,25.44250478,16.57124597,15.51858669,10.96778266,34.47933637,120.2487657,105.6109376,102.9879609,111.562906,102.1691201,106.8769612,108.3520022,118.293703,135.2049849,101.4133051,1
23.36632905,G9970,HH,1/13/2001,High,Extravagant,Fast,Short,Warm,Compressor,Yes,Under review,Wooden,Textured,30.19951223,27.80535465,27.82839674,25.63967627,32.55982543,26.50558029,31.07312316,21.04067882,29.36915221,27.43618763,83.59006078,104.3448546,101.433823,97.88526154,115.9528472,90.5827773,95.23350736,87.17529541,97.96251578,98.28962721,-6.045095491,-13.22934698,6.681947295,-14.98609382,-1.150708357,-6.027042388,5.801931496,-3.955780301,-25.52066832,-8.930590192,2
26.30847407,G9971,HH,1/21/2001,High,Extravagant,Medium,Short,Warm,Compressor,No,Checked,Ceramic,Rough,43.35217078,57.12952821,44.70167309,49.18871974,40.91043794,48.11318599,49.29479669,45.16066682,39.1318573,53.63978958,77.76412742,94.62119902,92.03378749,70.07369911,78.52209837,83.01347008,80.31854956,80.20543431,75.5602489,67.57867629,49.63660443,56.12372877,54.4610466,34.37879769,64.28701789,56.14240217,43.43589829,65.3149152,60.13259203,57.38730531,3
37.62453715,G9972,HH,1/27/2001,Low,Cheap,Medium,Very Long,Warm,Boiler,Yes,Under review,Ceramic,Rough,43.71137054,51.23859821,37.90816514,49.45448928,43.45622202,48.01461307,51.36170429,53.91513675,43.91109929,46.81729177,78.97547756,86.49582061,89.91667275,89.2217165,83.12411411,68.38291252,72.52305059,74.85648138,72.40483416,80.78783967,69.67155349,72.0275342,82.12813632,90.4497257,82.23153749,88.99493121,83.29100872,75.01654853,80.73734385,98.22465535,4
38.63857843,G9973,HH,2/3/2001,Low,Extravagant,Medium,Very Long,Hot,Compressor,Yes,Uncertain,Wooden,Rough,25.28302628,26.51087319,27.28498743,36.07446217,15.05359267,29.90943557,26.63119506,29.39497844,38.1997799,32.37481783,69.99232498,80.09101494,91.02862239,62.0673965,64.18855477,80.01408863,75.97929544,65.13516592,61.46424712,66.35432192,170.6553538,158.6583253,169.5835842,165.6654658,175.8490665,162.7221651,146.1209168,165.1278557,157.9890883,146.3178022,5
26.70374458,G9974,HH,2/11/2001,Low,Extravagant,Fast,Very Long,Hot,Battery room,Yes,Checked,Ceramic,Textured,31.24727955,33.89189101,37.91847031,30.30677813,41.87279489,35.94416211,37.47824932,35.35769069,36.51910318,46.72656269,30.81188659,47.40447799,1.050039316,27.64014797,12.15289065,4.186656557,26.49699033,32.36307411,32.00652038,1.430104098,139.0497523,133.8507565,122.6743744,126.7378631,128.7010481,136.7714332,131.4254493,136.0734845,140.7602033,144.0149798,6
3.996697339,G9975,HH,2/17/2001,Low,Cheap,Fast,Short,Hot,Battery room,Yes,Checked,Ceramic,Rough,32.55892911,33.36494457,33.65271194,39.4548191,36.05572215,27.72292738,34.53458881,33.71222251,28.82718262,30.19733494,8.412724071,-3.601203724,-5.665180363,4.085196103,9.093844596,5.196239018,6.716269946,-0.146369634,9.565712633,-6.309764758,110.2971417,104.432533,102.2477679,101.8699647,100.1292884,85.91847785,101.8968884,110.5335999,97.22636761,108.8550709,7
12.45198632,G9976,KG,2/25/2001,Medium,Costly,Medium,Short,Hot,Compressor,Yes,Uncertain,Ceramic,Rough,11.82176791,11.52226658,16.09617109,16.75122967,8.254238132,21.78404257,NA,6.180577877,8.659184722,5.03706896,40.44617218,40.17994426,61.89033784,52.90260687,60.71000782,39.9243198,40.51630712,57.66724124,40.91796301,66.27022907,205.127003,200.8300207,196.3283858,199.4891066,189.7529277,178.4102875,190.4845269,202.6269444,209.5214099,203.972107,8
36.48889391,G9977,KG,3/3/2001,Low,Extravagant,Fast,Long,Hot,Boiler,No,Uncertain,Wooden,Smooth,35.63737259,44.53962825,42.32791954,44.70007876,42.26463327,47.36154812,38.65557355,51.16188577,40.59896688,31.09009961,56.89010224,73.05240039,81.79779878,47.89367457,68.85420927,60.34437663,72.79344588,78.78198545,64.89548533,75.74637495,72.31896687,85.15589956,101.7128051,78.409036,90.66402927,84.73716522,71.14286844,78.89697166,91.60639838,87.66660441,9
24.27693327,G9978,HH,3/10/2001,Low,Extravagant,Fast,Very Long,Hot,Battery room,Yes,Uncertain,Wooden,Textured,5.489645492,8.645430161,4.387826054,9.5422299,9.194675723,-3.3653922,1.648249896,14.22949185,6.571086725,7.75753326,65.74411002,35.69375998,48.58436092,68.15921572,72.98723919,48.16904342,71.06580103,42.35609139,44.98001788,58.03120049,97.23777837,94.36063977,76.02843324,85.30617818,102.697672,73.36458396,85.5554439,95.50444292,92.12624786,98.92886089,10
